employee_id,fullname,avg_performance_rating,years_of_service_months,grade_name,education_name,grade_id,position_id,iq,pauli,faxtor,disc,mbti,gtq_total,tiki,papi_n_score,papi_g_score,papi_a_score,papi_l_score,papi_p_score,papi_i_score,papi_t_score,papi_v_score,papi_o_score,papi_b_score,papi_s_score,papi_x_score,papi_c_score,papi_d_score,papi_r_score,papi_z_score,papi_e_score,papi_k_score,papi_f_score,papi_w_score,avg_score_gdr,avg_score_cex,avg_score_ids,avg_score_qdd,avg_score_sto,avg_score_sea,avg_score_vcu,avg_score_lie,avg_score_ftc,avg_score_csi,strength_rank_1_theme,strength_rank_2_theme,strength_rank_3_theme
EMP100000,Rendra Pratama,2.4000000000000000,64,IV,S2,2,1,94.0,86,75,SI,null,33.0,2,2.0,5.0,1.0,7.0,3.0,8.0,3.0,4.0,9.0,6.0,9.0,2.0,5.0,null,7.0,1.0,1.0,null,3.0,4.0,2.5000000000000000,2.4000000000000000,2.6000000000000000,27.0000000000000000,2.4000000000000000,2.2000000000000000,2.6000000000000000,2.4000000000000000,2.6000000000000000,2.2500000000000000,,Adaptability,Context
EMP100001,Wulan Setiawan,3.5000000000000000,16,III,D3,1,4,94.0,48,52,DS,INTP,17.0,3,8.0,2.0,3.0,7.0,5.0,4.0,6.0,7.0,9.0,1.0,3.0,6.0,7.0,4.0,3.0,9.0,2.0,6.0,2.0,1.0,3.7500000000000000,3.2500000000000000,3.5000000000000000,2.6666666666666667,3.2500000000000000,3.6666666666666667,3.5000000000000000,3.2500000000000000,3.2500000000000000,3.5000000000000000,Responsibility,Includer,Significance
EMP100002,Julia Jatmiko Situmorang,3.0000000000000000,58,III,S2,1,5,109.0,66,38,DC,null,20.0,3,9.0,2.0,2.0,null,3.0,8.0,9.0,9.0,5.0,null,3.0,4.0,4.0,2.0,1.0,6.0,5.0,4.0,7.0,1.0,2.6000000000000000,3.8000000000000000,3.0000000000000000,3.2500000000000000,3.2000000000000000,3.0000000000000000,3.0000000000000000,2.7500000000000000,2.7500000000000000,3.0000000000000000,Restorative,Maximizer,Woo
EMP100003,Oka Halim,2.5000000000000000,15,IV,S1,2,4,85.0,39,63,SI,ENTJ,39.0,3,9.0,3.0,null,3.0,8.0,8.0,1.0,7.0,1.0,8.0,1.0,4.0,9.0,2.0,9.0,3.0,6.0,5.0,5.0,7.0,2.7500000000000000,1.6666666666666667,2.5000000000000000,2.2500000000000000,2.6666666666666667,2.5000000000000000,3.5000000000000000,2.2500000000000000,2.2500000000000000,2.2500000000000000,Belief,Intellection,Arranger
EMP100004,Dwi Pratama,3.2000000000000000,34,III,D3,1,6,134.0,75,100,null,INTJ,21.0,9,7.0,8.0,5.0,3.0,7.0,9.0,9.0,2.0,6.0,4.0,2.0,3.0,4.0,5.0,1.0,6.0,3.0,1.0,7.0,1.0,3.2000000000000000,3.5000000000000000,2.8000000000000000,2.6000000000000000,3.6000000000000000,2.4000000000000000,3.3333333333333333,3.2500000000000000,3.4000000000000000,3.0000000000000000,Deliberative,Command,Woo
EMP100005,Bayu Zulfikar,2.2500000000000000,66,III,S2,1,5,130.0,69,35,DC,null,21.0,7,null,3.0,null,1.0,6.0,null,1.0,8.0,null,5.0,8.0,8.0,4.0,6.0,2.0,9.0,6.0,5.0,7.0,2.0,1.5000000000000000,2.6000000000000000,1.7500000000000000,2.4000000000000000,1.7500000000000000,2.2000000000000000,2.5000000000000000,2.2500000000000000,2.0000000000000000,2.2000000000000000,Input,Relator,Woo
EMP100006,Indra Santoso,3.6000000000000000,82,III,D3,1,3,139.0,94,24,SC,ESFP,27.0,6,2.0,9.0,7.0,6.0,7.0,3.0,8.0,6.0,null,9.0,4.0,null,6.0,4.0,3.0,7.0,6.0,6.0,1.0,null,3.4000000000000000,3.2000000000000000,3.8000000000000000,3.4000000000000000,3.7500000000000000,3.8000000000000000,3.5000000000000000,3.5000000000000000,3.2500000000000000,4.0000000000000000,Input,Analytical,Responsibility
EMP100007,Rani Mahendra,2.8000000000000000,56,V,S1,3,4,99.0,65,45,DS,ESFJ,17.0,4,7.0,1.0,1.0,2.0,9.0,7.0,3.0,5.0,9.0,2.0,3.0,null,5.0,2.0,9.0,6.0,2.0,7.0,7.0,9.0,2.6000000000000000,2.7500000000000000,3.0000000000000000,2.8000000000000000,3.0000000000000000,2.6000000000000000,2.2000000000000000,3.2500000000000000,3.0000000000000000,2.8000000000000000,Connectedness,Strategic,Consistency
EMP100008,Gita Permadi,3.4000000000000000,40,III,SMA,1,3,137.0,47,97,ID,INFP,23.0,1,9.0,6.0,5.0,8.0,9.0,7.0,null,6.0,1.0,6.0,7.0,2.0,2.0,null,3.0,6.0,6.0,4.0,3.0,1.0,3.4000000000000000,3.2500000000000000,3.2000000000000000,3.4000000000000000,3.0000000000000000,3.0000000000000000,3.2500000000000000,3.0000000000000000,3.4000000000000000,3.4000000000000000,,Ideation,Focus
EMP100009,Julia Anggara,3.3333333333333333,77,V,S2,3,5,82.0,21,84,DS,ISFP,29.0,4,9.0,3.0,2.0,2.0,1.0,4.0,6.0,3.0,9.0,3.0,null,7.0,8.0,1.0,6.0,9.0,4.0,1.0,6.0,8.0,3.4000000000000000,3.4000000000000000,3.8000000000000000,3.4000000000000000,3.2000000000000000,3.2500000000000000,3.4000000000000000,3.0000000000000000,3.7500000000000000,2.8000000000000000,Analytical,Developer,Relator
EMP100010,Maya Jatmiko Handayani,2.6000000000000000,29,V,D3,3,4,84.0,43,61,CI,ESTJ,42.0,2,2.0,6.0,5.0,null,5.0,7.0,null,5.0,5.0,7.0,null,3.0,5.0,3.0,2.0,5.0,6.0,4.0,6.0,8.0,2.2500000000000000,3.0000000000000000,2.8000000000000000,2.6000000000000000,2.6000000000000000,3.0000000000000000,2.3333333333333333,2.2000000000000000,3.0000000000000000,2.8000000000000000,Activator,Includer,Arranger
EMP100011,Fajar Halim,3.6000000000000000,51,V,S1,3,3,125.0,45,31,DI,ENFP,31.0,10,null,9.0,null,null,6.0,4.0,5.0,6.0,1.0,2.0,7.0,6.0,2.0,5.0,6.0,6.0,3.0,3.0,8.0,7.0,3.6000000000000000,3.2500000000000000,2.6000000000000000,3.2500000000000000,2.8000000000000000,4.0000000000000000,3.6000000000000000,4.0000000000000000,3.5000000000000000,3.2500000000000000,Empathy,Intellection,Activator
EMP100012,Rendra Tri Purnama,4.0000000000000000,3,IV,SMA,2,2,108.0,20,70,DS,ISFJ,43.0,10,8.0,1.0,4.0,7.0,5.0,5.0,1.0,3.0,1.0,2.0,5.0,6.0,6.0,7.0,1.0,4.0,7.0,1.0,4.0,null,3.0000000000000000,2.5000000000000000,2.0000000000000000,2.3333333333333333,2.7500000000000000,2.7500000000000000,2.5000000000000000,2.2500000000000000,2.2500000000000000,2.7500000000000000,Belief,Empathy,Focus
EMP100013,Maya Mahendra,2.0000000000000000,3,V,D3,3,6,124.0,88,32,IC,ENTP,33.0,9,5.0,null,3.0,4.0,7.0,3.0,9.0,4.0,1.0,3.0,3.0,null,7.0,9.0,4.0,7.0,8.0,3.0,4.0,2.0,1.6666666666666667,2.5000000000000000,2.0000000000000000,2.2500000000000000,2.6666666666666667,2.5000000000000000,3.0000000000000000,2.0000000000000000,2.6666666666666667,2.0000000000000000,,Consistency,Adaptability
EMP100014,Wahyu Indrawan,3.2000000000000000,65,IV,SMA,2,6,92.0,92,54,SI,ISTJ,24.0,7,8.0,4.0,5.0,1.0,7.0,7.0,2.0,null,8.0,5.0,null,9.0,9.0,9.0,null,2.0,8.0,5.0,null,2.0,3.0000000000000000,2.8000000000000000,2.8000000000000000,3.3333333333333333,3.0000000000000000,3.6000000000000000,3.2000000000000000,3.4000000000000000,3.6000000000000000,3.0000000000000000,Empathy,Maximizer,Focus
EMP100015,Zahra Utama Setiawan,2.7500000000000000,28,V,S1,3,3,null,65,77,DC,ENFP,null,7,9.0,3.0,null,6.0,9.0,1.0,5.0,3.0,7.0,5.0,1.0,2.0,7.0,null,9.0,6.0,6.0,1.0,7.0,7.0,2.8000000000000000,3.2000000000000000,2.8000000000000000,3.2000000000000000,3.4000000000000000,3.2000000000000000,3.2000000000000000,2.8000000000000000,2.7500000000000000,2.8000000000000000,Restorative,Analytical,Significance
EMP100016,Dinda Pramudita Ginting,2.8000000000000000,39,IV,D3,2,6,97.0,83,93,SI,ISTP,34.0,5,6.0,3.0,1.0,5.0,9.0,1.0,2.0,6.0,8.0,2.0,3.0,7.0,null,3.0,8.0,null,6.0,8.0,4.0,4.0,2.8000000000000000,3.2000000000000000,2.7500000000000000,3.2000000000000000,2.4000000000000000,2.4000000000000000,3.5000000000000000,2.6000000000000000,2.6000000000000000,3.2000000000000000,Adaptability,Relator,Discipline
EMP100017,Fajar Mahendra,3.8000000000000000,95,V,S1,3,4,107.0,55,80,CS,ENTJ,31.0,1,2.0,7.0,4.0,1.0,6.0,4.0,1.0,3.0,6.0,2.0,6.0,null,6.0,5.0,1.0,5.0,8.0,1.0,3.0,3.0,3.2000000000000000,3.6000000000000000,3.0000000000000000,3.2000000000000000,2.6000000000000000,3.2500000000000000,3.0000000000000000,3.2000000000000000,3.2000000000000000,3.2000000000000000,Individualization,Positivity,Input
EMP100018,Arif Ginting,2.8000000000000000,53,IV,D3,2,5,null,66,69,SC,ESFJ,28.0,3,8.0,6.0,1.0,6.0,7.0,1.0,9.0,6.0,8.0,8.0,5.0,9.0,1.0,6.0,8.0,null,5.0,4.0,1.0,9.0,3.2500000000000000,3.4000000000000000,2.8000000000000000,3.0000000000000000,3.5000000000000000,2.6666666666666667,2.7500000000000000,3.0000000000000000,2.8000000000000000,2.6000000000000000,Harmony,Arranger,Connectedness
EMP100019,Rizki Iqbal Gunawan,3.6000000000000000,27,III,S2,1,4,125.0,28,72,CD,ISTP,23.0,10,1.0,9.0,2.0,1.0,9.0,7.0,3.0,3.0,3.0,7.0,4.0,4.0,4.0,7.0,8.0,4.0,6.0,2.0,9.0,null,3.6000000000000000,3.7500000000000000,3.5000000000000000,3.4000000000000000,22.6000000000000000,3.4000000000000000,3.8000000000000000,3.6000000000000000,3.8000000000000000,3.0000000000000000,Strategic,Discipline,Arranger
EMP100020,Yoga Erlangga Hartanto,3.4000000000000000,31,IV,SMA,2,1,132.0,83,83,DC,ENFP,33.0,1,7.0,9.0,3.0,2.0,5.0,1.0,1.0,4.0,5.0,null,9.0,1.0,6.0,null,5.0,9.0,1.0,6.0,8.0,2.0,3.6666666666666667,3.4000000000000000,3.4000000000000000,4.2000000000000000,3.6000000000000000,3.8000000000000000,4.0000000000000000,3.4000000000000000,2.8000000000000000,3.2000000000000000,Includer,Command,Adaptability
EMP100021,Oka Candra Kurniawan,4.0000000000000000,81,V,S1,3,1,null,22,34,CS,INFP,null,2,9.0,6.0,5.0,3.0,1.0,null,1.0,2.0,4.0,6.0,5.0,6.0,2.0,6.0,6.0,2.0,8.0,2.0,5.0,1.0,4.0000000000000000,3.2500000000000000,3.8000000000000000,4.0000000000000000,4.2000000000000000,3.7500000000000000,4.0000000000000000,4.0000000000000000,4.4000000000000000,4.2000000000000000,Significance,Activator,Futuristic
EMP100022,Oka Nugroho,3.4000000000000000,53,IV,S2,2,2,91.0,49,94,null,ISTP,35.0,8,null,3.0,2.0,6.0,8.0,1.0,1.0,8.0,7.0,3.0,5.0,null,7.0,8.0,9.0,2.0,3.0,null,7.0,5.0,4.2500000000000000,3.6000000000000000,3.6000000000000000,3.6000000000000000,3.4000000000000000,3.4000000000000000,3.4000000000000000,2.3333333333333333,3.2000000000000000,3.2000000000000000,Discipline,Self-Assurance,Strategic
EMP100023,Adit Kurniawan,2.4000000000000000,49,IV,SMA,2,3,139.0,86,52,DC,ESTJ,30.0,5,7.0,5.0,2.0,5.0,3.0,3.0,2.0,6.0,2.0,1.0,null,5.0,7.0,4.0,4.0,1.0,9.0,3.0,4.0,8.0,2.4000000000000000,2.6000000000000000,2.4000000000000000,2.2000000000000000,2.0000000000000000,2.2000000000000000,2.8000000000000000,2.6000000000000000,2.0000000000000000,2.5000000000000000,Arranger,Strategic,Futuristic
EMP100024,Rendra Candra Maulida,3.5000000000000000,44,IV,S2,2,5,134.0,64,23,CD,ESTP,23.0,5,6.0,6.0,6.0,7.0,3.0,2.0,9.0,1.0,5.0,3.0,8.0,2.0,5.0,3.0,8.0,2.0,3.0,1.0,9.0,2.0,3.8000000000000000,3.7500000000000000,4.2000000000000000,3.8000000000000000,4.0000000000000000,2.8000000000000000,3.6000000000000000,3.8000000000000000,4.0000000000000000,3.4000000000000000,Connectedness,Adaptability,Competition
EMP100025,Rizky Dharma Purnama,3.0000000000000000,20,V,S1,3,1,null,53,71,CS,ESTJ,34.0,8,4.0,7.0,8.0,9.0,8.0,3.0,2.0,7.0,5.0,8.0,1.0,7.0,6.0,7.0,3.0,8.0,null,null,2.0,4.0,2.7500000000000000,3.0000000000000000,3.3333333333333333,3.5000000000000000,3.5000000000000000,3.5000000000000000,2.6666666666666667,3.0000000000000000,3.0000000000000000,3.7500000000000000,Adaptability,Relator,Strategic
EMP100026,Wulan Yudhistira Tamba,3.4000000000000000,65,IV,SMA,2,4,107.0,96,37,IS,ESFJ,32.0,4,7.0,4.0,7.0,2.0,6.0,1.0,3.0,5.0,5.0,8.0,7.0,9.0,5.0,2.0,4.0,null,6.0,7.0,9.0,7.0,4.3333333333333333,3.6000000000000000,2.7500000000000000,3.4000000000000000,3.2000000000000000,3.2000000000000000,3.0000000000000000,3.5000000000000000,3.2500000000000000,3.4000000000000000,Competition,Harmony,Deliberative
EMP100027,Oka Rohman,2.0000000000000000,132,V,S2,3,2,97.0,93,76,SC,INFP,18.0,9,1.0,6.0,null,5.0,9.0,6.0,6.0,3.0,6.0,9.0,1.0,4.0,9.0,null,2.0,2.0,6.0,5.0,2.0,5.0,3.0000000000000000,2.2500000000000000,2.0000000000000000,2.2500000000000000,2.2500000000000000,2.4000000000000000,2.8000000000000000,2.0000000000000000,2.4000000000000000,2.6000000000000000,Discipline,Includer,Command
EMP100028,Nadia Saputra,2.7500000000000000,22,IV,SMA,2,3,107.0,95,71,SI,INFP,20.0,3,6.0,5.0,2.0,9.0,1.0,2.0,4.0,8.0,1.0,null,3.0,3.0,2.0,3.0,9.0,4.0,3.0,3.0,9.0,9.0,2.5000000000000000,3.0000000000000000,2.2500000000000000,3.0000000000000000,2.6666666666666667,2.6666666666666667,3.0000000000000000,3.0000000000000000,3.5000000000000000,3.2500000000000000,Deliberative,Significance,Arranger
EMP100029,Satya Adi Hasibuan,3.2500000000000000,32,III,D3,1,5,105.0,93,85,DC,INTP,29.0,10,2.0,6.0,3.0,4.0,2.0,null,null,4.0,2.0,2.0,7.0,null,7.0,4.0,null,9.0,2.0,1.0,5.0,3.0,3.0000000000000000,3.0000000000000000,3.5000000000000000,3.6000000000000000,3.0000000000000000,2.8000000000000000,3.0000000000000000,3.2500000000000000,3.8000000000000000,3.2500000000000000,Maximizer,Ideation,Intellection
EMP100030,Rizky Anugrah Permadi,2.2000000000000000,56,V,S2,3,5,110.0,46,100,DS,ESTJ,22.0,4,6.0,2.0,8.0,3.0,9.0,4.0,3.0,8.0,2.0,8.0,4.0,7.0,4.0,7.0,3.0,3.0,4.0,4.0,8.0,2.0,1.7500000000000000,2.5000000000000000,2.0000000000000000,1.8000000000000000,2.6000000000000000,2.0000000000000000,2.5000000000000000,2.0000000000000000,2.4000000000000000,2.6000000000000000,Restorative,Responsibility,Input
EMP100031,Julia Nabila Kurniawan,3.6000000000000000,34,IV,SMA,2,3,103.0,34,93,CD,INTJ,35.0,3,6.0,2.0,null,5.0,2.0,6.0,1.0,7.0,4.0,2.0,6.0,6.0,2.0,5.0,3.0,3.0,4.0,5.0,2.0,5.0,3.5000000000000000,3.5000000000000000,3.2000000000000000,3.7500000000000000,3.8000000000000000,22.4000000000000000,4.0000000000000000,3.7500000000000000,4.0000000000000000,3.6000000000000000,Maximizer,Arranger,Responsibility
EMP100032,Galih Mahardika Purnama,3.4000000000000000,34,III,SMA,1,3,null,29,85,DS,ENTJ,36.0,7,9.0,3.0,6.0,6.0,7.0,5.0,1.0,9.0,4.0,3.0,6.0,8.0,7.0,3.0,1.0,7.0,null,3.0,6.0,3.0,3.2500000000000000,3.8000000000000000,3.4000000000000000,3.2000000000000000,3.4000000000000000,3.0000000000000000,3.4000000000000000,3.2000000000000000,2.8000000000000000,3.4000000000000000,Maximizer,Learner,
EMP100033,Ahmad Simanjuntak,2.6000000000000000,37,IV,SMA,2,5,117.0,53,83,ID,ENFP,23.0,6,5.0,1.0,5.0,6.0,9.0,9.0,1.0,2.0,3.0,null,7.0,7.0,null,1.0,5.0,2.0,2.0,2.0,3.0,5.0,2.2500000000000000,3.0000000000000000,2.8000000000000000,2.6000000000000000,2.5000000000000000,3.2500000000000000,2.0000000000000000,3.2000000000000000,2.2500000000000000,2.2000000000000000,Futuristic,Discipline,Input
EMP100034,Ari Adi Ginting,3.5000000000000000,86,III,SMA,1,6,116.0,34,35,DS,ENFP,35.0,5,2.0,1.0,null,2.0,8.0,null,6.0,4.0,7.0,3.0,8.0,3.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,6.0,3.4000000000000000,3.4000000000000000,3.8000000000000000,3.5000000000000000,3.6000000000000000,3.7500000000000000,3.6000000000000000,3.4000000000000000,3.2000000000000000,3.8000000000000000,Achiever,Self-Assurance,Relator
EMP100035,Oka Tamba,2.8000000000000000,57,V,S1,3,1,103.0,84,36,DI,null,28.0,7,3.0,9.0,5.0,1.0,6.0,null,3.0,1.0,9.0,9.0,4.0,null,3.0,1.0,7.0,2.0,5.0,3.0,3.0,2.0,2.6000000000000000,2.8000000000000000,2.7500000000000000,2.8000000000000000,2.8000000000000000,3.0000000000000000,2.0000000000000000,2.8000000000000000,3.2500000000000000,3.0000000000000000,Command,Includer,
EMP100036,Ayunda Utama Lestari,3.4000000000000000,54,V,S1,3,1,120.0,96,81,CD,ESFJ,28.0,3,7.0,2.0,7.0,null,null,1.0,6.0,9.0,6.0,7.0,9.0,5.0,7.0,4.0,null,4.0,2.0,null,6.0,8.0,3.4000000000000000,3.0000000000000000,3.6000000000000000,3.6000000000000000,3.2500000000000000,3.4000000000000000,3.7500000000000000,3.2500000000000000,3.2000000000000000,3.7500000000000000,Woo,Deliberative,Context
EMP100037,Nabila Ramadhan,2.6000000000000000,52,IV,S1,2,6,null,45,41,null,ISTJ,null,1,2.0,5.0,8.0,2.0,7.0,3.0,8.0,1.0,8.0,6.0,1.0,2.0,4.0,9.0,2.0,8.0,4.0,9.0,1.0,9.0,2.8000000000000000,3.7500000000000000,2.6000000000000000,2.4000000000000000,3.2500000000000000,3.6000000000000000,2.2500000000000000,2.6000000000000000,2.4000000000000000,2.4000000000000000,Connectedness,Responsibility,Analytical
EMP100038,Bella Tri Setiawan,2.7500000000000000,50,V,SMA,3,6,93.0,28,51,IC,ESFP,36.0,2,2.0,1.0,9.0,3.0,3.0,5.0,2.0,9.0,4.0,null,5.0,6.0,4.0,9.0,6.0,3.0,5.0,9.0,1.0,6.0,3.2000000000000000,2.8000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,3.0000000000000000,Belief,Empathy,Focus
EMP100039,Budi Adi Permadi,4.3333333333333333,65,III,S2,1,4,125.0,51,52,SI,ISFP,41.0,9,2.0,9.0,3.0,8.0,2.0,9.0,2.0,9.0,6.0,9.0,null,7.0,1.0,6.0,4.0,5.0,4.0,3.0,5.0,6.0,3.4000000000000000,3.5000000000000000,3.4000000000000000,3.6000000000000000,3.6000000000000000,3.4000000000000000,3.2000000000000000,3.2000000000000000,3.6000000000000000,3.2000000000000000,Futuristic,Developer,Woo
EMP100040,Rifqi Putra,1.6000000000000000,81,IV,SMA,2,4,112.0,55,36,ID,ESTP,24.0,10,7.0,3.0,1.0,2.0,null,8.0,5.0,3.0,1.0,7.0,1.0,null,3.0,6.0,4.0,2.0,9.0,7.0,3.0,3.0,1.5000000000000000,1.8000000000000000,1.6666666666666667,1.7500000000000000,1.5000000000000000,1.7500000000000000,1.6000000000000000,2.0000000000000000,1.6000000000000000,2.5000000000000000,Discipline,Self-Assurance,Learner
EMP100041,Lestari Maulana,3.4000000000000000,99,III,S1,1,3,86.0,53,32,IS,ISTJ,25.0,7,null,3.0,3.0,4.0,8.0,7.0,4.0,1.0,8.0,1.0,1.0,6.0,null,7.0,3.0,null,4.0,9.0,3.0,5.0,3.2000000000000000,3.2000000000000000,3.0000000000000000,3.0000000000000000,3.4000000000000000,2.5000000000000000,3.4000000000000000,3.0000000000000000,3.4000000000000000,2.7500000000000000,Intellection,Connectedness,Significance
EMP100042,Oka Lukman,3.0000000000000000,28,III,SMA,1,6,139.0,63,43,CD,ENFP,25.0,1,8.0,7.0,9.0,3.0,7.0,2.0,4.0,6.0,5.0,3.0,4.0,6.0,5.0,7.0,9.0,1.0,3.0,5.0,3.0,3.0,2.8000000000000000,2.8000000000000000,2.5000000000000000,2.6000000000000000,3.0000000000000000,2.7500000000000000,2.8000000000000000,3.2000000000000000,3.0000000000000000,2.8000000000000000,Command,Adaptability,Intellection
EMP100043,Nugroho Indrawan,3.7500000000000000,40,III,D3,1,3,null,41,97,SD,ESFJ,null,9,8.0,6.0,7.0,8.0,1.0,8.0,5.0,3.0,null,3.0,2.0,null,8.0,5.0,8.0,1.0,4.0,1.0,1.0,8.0,3.4000000000000000,3.6000000000000000,3.6000000000000000,3.7500000000000000,2.2500000000000000,3.6000000000000000,3.5000000000000000,4.0000000000000000,3.4000000000000000,2.7500000000000000,Learner,Individualization,Relator
EMP100044,Indra Maulida,2.5000000000000000,8,III,S1,1,5,82.0,74,44,ID,ESFP,41.0,5,4.0,7.0,1.0,9.0,1.0,5.0,4.0,4.0,3.0,3.0,7.0,7.0,9.0,1.0,7.0,3.0,7.0,null,4.0,4.0,2.7500000000000000,2.5000000000000000,3.0000000000000000,2.5000000000000000,2.7500000000000000,2.2500000000000000,3.0000000000000000,3.0000000000000000,2.3333333333333333,2.5000000000000000,Focus,Communication,Arranger
